ID,回,年,月,日,水路,タイプ,レース番号,競技名,競技性別,リレー年齢区分,リレー実年齢合計,リレータイム,リレー大会新差,リレー泳順,個人年齢区分,順位,選手名,性別,チーム名,個人タイム,個人大会新差,飛込タイム,LAPタイム,個人得点,チーム得点,申請タイム,ぴったり賞,大会新,大会記録,日本記録,世界記録,レーン
1,76,2024,5,11,短水路,個人,1,100m個人メドレー,女子,,,,,,80～84歳,1,長谷部征子,女子,セ・八王子,2:05.42,,,"29.16,59.80,1:34.89",,,,,TRUE,2:26.33,1:36.03,1:38.45,3/3
2,76,2024,5,11,短水路,個人,1,100m個人メドレー,女子,,,,,,80～84歳,2,久保美紀枝,女子,セ・流山,2:27.70,,,"33.93,1:11.00,1:52.70",,,,,,2:26.33,1:36.03,1:38.45,1/4
3,76,2024,5,11,短水路,個人,1,100m個人メドレー,女子,,,,,,80～84歳,3,手塚泰子,女子,セ・清瀬,2:30.00,,,"37.59,1:17.18,1:57.22",,,,,,2:26.33,1:36.03,1:38.45,1/3
4,76,2024,5,11,短水路,個人,1,100m個人メドレー,女子,,,,,,80～84歳,4,御手洗ヨシ,女子,CS南行徳,2:37.13,,,"40.43,1:17.79,2:03.87",,,,,,2:26.33,1:36.03,1:38.45,1/6
5,76,2024,5,11,短水路,個人,1,100m個人メドレー,女子,,,,,,75～79歳,1,岡田まり子,女子,CS南行徳,2:04.18,,,"28.01,1:01.37,1:35.59",,,,,,1:50.59,1:31.38,1:27.96,2/4
6,76,2024,5,11,短水路,個人,1,100m個人メドレー,女子,,,,,,75～79歳,2,竹原君枝,女子,セ・慶應日吉,2:04.78,,,"28.67,1:00.60,1:37.27",,,,,,1:50.59,1:31.38,1:27.96,4/7
7,76,2024,5,11,短水路,個人,1,100m個人メドレー,女子,,,,,,75～79歳,3,原田早苗,女子,セ・南千住,2:15.05,,,"31.80,1:05.45,1:43.99",,,,,,1:50.59,1:31.38,1:27.96,2/2
8,76,2024,5,11,短水路,個人,1,100m個人メドレー,女子,,,,,,75～79歳,4,馬場悦子,女子,セ・清瀬,2:16.73,,,"31.58,1:03.27,1:44.01",,,,,,1:50.59,1:31.38,1:27.96,2/5
9,76,2024,5,11,短水路,個人,1,100m個人メドレー,女子,,,,,,70～74歳,1,青木華世子,女子,セ・松戸,1:35.50,,,"20.00,45.15,1:13.68",,,,,TRUE,1:40.10,1:24.88,1:18.81,9/8
10,76,2024,5,11,短水路,個人,1,100m個人メドレー,女子,,,,,,70～74歳,2,藤代由美子,女子,セ・長沼,1:43.70,,,"20.54,48.88,1:19.27",,,,,,1:40.10,1:24.88,1:18.81,5/4
11,76,2024,5,11,短水路,個人,1,100m個人メドレー,女子,,,,,,70～74歳,3,原田岳美,女子,セ・藤沢,1:44.62,,,"21.68,49.08,1:21.85",,,,,,1:40.10,1:24.88,1:18.81,7/2
12,76,2024,5,11,短水路,個人,1,100m個人メドレー,女子,,,,,,70～74歳,4,見崎幸子,女子,墨田区体育館,2:00.31,,,"25.65,56.65,1:33.15",,,,,,1:40.10,1:24.88,1:18.81,4/1
13,76,2024,5,11,短水路,個人,1,100m個人メドレー,女子,,,,,,70～74歳,5,山村昌子,女子,セ・南千住,2:03.44,,,"26.18,58.60,1:33.19",,,,,,1:40.10,1:24.88,1:18.81,3/2
14,76,2024,5,11,短水路,個人,1,100m個人メドレー,女子,,,,,,70～74歳,6,菅和江,女子,セ・戸塚,2:03.66,,,"29.01,59.84,1:37.58",,,,,,1:40.10,1:24.88,1:18.81,5/8
15,76,2024,5,11,短水路,個人,1,100m個人メドレー,女子,,,,,,70～74歳,7,高木保子,女子,セ・おおたか,2:04.76,,,"30.79,1:03.26,1:36.59",,,,,,1:40.10,1:24.88,1:18.81,4/4
16,76,2024,5,11,短水路,個人,1,100m個人メドレー,女子,,,,,,70～74歳,8,菅井道子,女子,セ・戸塚,2:06.47,,,"28.68,1:02.16,1:36.72",,,,,,1:40.10,1:24.88,1:18.81,3/5
17,76,2024,5,11,短水路,個人,1,100m個人メドレー,女子,,,,,,70～74歳,9,松木真知子,女子,セ・ときわ台,2:10.35,,,"30.00,1:03.67,1:37.30",,,,,,1:40.10,1:24.88,1:18.81,2/6
18,76,2024,5,11,短水路,個人,1,100m個人メドレー,女子,,,,,,70～74歳,10,大久保祐美子,女子,セ・おおたか,2:11.53,,,"26.67,58.99,1:42.87",,,,,,1:40.10,1:24.88,1:18.81,3/8
19,76,2024,5,11,短水路,個人,1,100m個人メドレー,女子,,,,,,65～69歳,1,菅野泰子,女子,セ・松戸,1:33.65,,,"19.48,45.66,1:12.96",,,,,,1:30.20,1:24.14,1:15.65,9/5
20,76,2024,5,11,短水路,個人,1,100m個人メドレー,女子,,,,,,65～69歳,2,森谷登志江,女子,セ・慶應日吉,1:42.40,,,"21.46,46.65,1:18.22",,,,,,1:30.20,1:24.14,1:15.65,7/6
21,76,2024,5,11,短水路,個人,1,100m個人メドレー,女子,,,,,,65～69歳,3,井手敦子,女子,セ・慶應日吉,1:42.70,,,"21.42,48.38,1:19.62",,,,,,1:30.20,1:24.14,1:15.65,7/1
