ID,回,年,月,日,水路,タイプ,レース番号,競技名,競技性別,リレー年齢区分,リレー実年齢合計,リレータイム,リレー大会新差,リレー泳順,個人年齢区分,順位,選手名,性別,チーム名,個人タイム,個人大会新差,飛込タイム,LAPタイム,個人得点,チーム得点,申請タイム,ぴったり賞,大会新,大会記録,日本記録,世界記録,レーン
1,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,320～359歳,324,3:16.57,,1,,1,八田清子,,セ・松戸,44.20,,,,,,,,,3:16.24,2:52.72,2:52.72,1/3
2,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,320～359歳,324,3:16.57,,2,,1,川口栄子,,セ・松戸,45.95,,,,,,,,,3:16.24,2:52.72,2:52.72,1/3
3,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,320～359歳,324,3:16.57,,3,,1,須山順子,,セ・松戸,51.16,,,,,,,,,3:16.24,2:52.72,2:52.72,1/3
4,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,320～359歳,324,3:16.57,,4,,1,後藤節子,,セ・松戸,55.26,,,,,,,,,3:16.24,2:52.72,2:52.72,1/3
5,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,320～359歳,324,3:57.61,,1,,2,新堀友子,,セ・天王洲,1:06.76,,,,,,,,,3:16.24,2:52.72,2:52.72,1/1
6,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,320～359歳,324,3:57.61,,2,,2,平田美佐子,,セ・天王洲,59.09,,,,,,,,,3:16.24,2:52.72,2:52.72,1/1
7,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,320～359歳,324,3:57.61,,3,,2,川端淑子,,セ・天王洲,56.50,,,,,,,,,3:16.24,2:52.72,2:52.72,1/1
8,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,320～359歳,324,3:57.61,,4,,2,柴田千代子,,セ・天王洲,55.26,,,,,,,,,3:16.24,2:52.72,2:52.72,1/1
9,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,283,2:53.58,,1,,1,梅田栄己子(),,セ・天王洲,43.95,,,,,,,,,2:45.72,2:31.16,2:14.99,1/6
10,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,283,2:53.58,,2,,1,鬼束洋子,,セ・天王洲,47.77,,,,,,,,,2:45.72,2:31.16,2:14.99,1/6
11,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,283,2:53.58,,3,,1,後藤明美,,セ・天王洲,40.69,,,,,,,,,2:45.72,2:31.16,2:14.99,1/6
12,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,283,2:53.58,,4,,1,浅野みどり,,セ・天王洲,41.17,,,,,,,,,2:45.72,2:31.16,2:14.99,1/6
13,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,286,3:03.59,,1,,2,富樫博子,,セ・大森,53.01,,,,,,,,,2:45.72,2:31.16,2:14.99,2/8
14,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,286,3:03.59,,2,,2,市野克子,,セ・大森,43.81,,,,,,,,,2:45.72,2:31.16,2:14.99,2/8
15,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,286,3:03.59,,3,,2,藤井一恵,,セ・大森,45.83,,,,,,,,,2:45.72,2:31.16,2:14.99,2/8
16,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,286,3:03.59,,4,,2,井上美佐子,,セ・大森,40.94,,,,,,,,,2:45.72,2:31.16,2:14.99,2/8
17,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,288,3:10.56,,1,,3,佐藤由利子,,セ・用賀,46.03,,,,,,,,,2:45.72,2:31.16,2:14.99,1/7
18,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,288,3:10.56,,2,,3,舘野圭子,,セ・用賀,55.24,,,,,,,,,2:45.72,2:31.16,2:14.99,1/7
19,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,288,3:10.56,,3,,3,崎山治子,,セ・用賀,48.05,,,,,,,,,2:45.72,2:31.16,2:14.99,1/7
20,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,288,3:10.56,,4,,3,捶井泰子,,セ・用賀,41.24,,,,,,,,,2:45.72,2:31.16,2:14.99,1/7
21,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,306,3:22.20,,1,,4,大久保祐美子,,セ・おおたか,46.13,,,,,,,,,2:45.72,2:31.16,2:14.99,1/2
22,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,306,3:22.20,,2,,4,田中みみぢ,,セ・おおたか,50.07,,,,,,,,,2:45.72,2:31.16,2:14.99,1/2
23,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,306,3:22.20,,3,,4,橋本順子,,セ・おおたか,57.37,,,,,,,,,2:45.72,2:31.16,2:14.99,1/2
24,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,306,3:22.20,,4,,4,松永タズヨ,,セ・おおたか,48.63,,,,,,,,,2:45.72,2:31.16,2:14.99,1/2
25,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,286,3:24.98,,1,,5,長谷川節子,,セ・天王洲,53.05,,,,,,,,,2:45.72,2:31.16,2:14.99,1/8
26,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,286,3:24.98,,2,,5,川島かよ子,,セ・天王洲,50.86,,,,,,,,,2:45.72,2:31.16,2:14.99,1/8
27,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,286,3:24.98,,3,,5,寺西寿賀子,,セ・天王洲,59.06,,,,,,,,,2:45.72,2:31.16,2:14.99,1/8
28,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,286,3:24.98,,4,,5,櫻田琴,,セ・天王洲,42.01,,,,,,,,,2:45.72,2:31.16,2:14.99,1/8
29,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,247,2:24.01,,1,,1,上野真弓,,セ・二俣川,37.22,,,,,,,,,2:18.66,2:07.60,2:00.75,3/2
30,77,2024,10,26,長水路,チーム,3,4×50mフリーリレー,女子,240～279歳,247,2:24.01,,2,,1,野島久枝,,セ・二俣川,37.80,,,,,,,,,2:18.66,2:07.60,2:00.75,3/2
