大会,申請名,OCR名,チーム,競技名,類似度,ステータス,備考
80,髙島典子,高島典子,大森,200m自由形,0.75,candidate,
80,兼森伸兒,兼森伸児,ザバス八景,200m個人メドレー,0.75,candidate,
80,髙橋里美,高橋里美,横浜,50m背泳ぎ,0.75,candidate,
80,白井凜,白井凛,市川,50m背泳ぎ,0.667,candidate,
80,安髙祐三,安高祐三,越谷,50m背泳ぎ,0.75,candidate,
80,髙本直彰,高本直彰,大宮宮原,50m背泳ぎ,0.75,candidate,
80,髙島典子,高島典子,大森,50m自由形,0.75,candidate,
80,山梨英克,山梨英亮,我孫子,50m自由形,0.75,candidate,
80,濱﨑悠生,濱崎悠生,柏,50m自由形,0.75,candidate,
80,早田紀子･RacaruGabriela･崎村詩織･小豆澤和代,RacaruGabriela,慶應日吉,4×100mメドレーリレー,0.636,candidate,
80,山梨英克,山梨英亮,我孫子,50m平泳ぎ,0.75,candidate,
80,安髙祐三,安高祐三,越谷,50m平泳ぎ,0.75,candidate,
80,兼森伸兒,兼森伸児,ザバス八景,50m平泳ぎ,0.75,candidate,
80,白井凜,白井凛,市川,50m平泳ぎ,0.667,candidate,
全体,森川佳余子,森川佳奈子,クリーンスパ,,0.8,candidate,第74・75・76・79回 vs 第77・78回
全体,蛭名とも子,蛯名とも子,セ・志木,,0.8,candidate,第74回 vs 第75・76・77回
全体,髙橋修一,高橋修一,セ・我孫子,,0.75,candidate,第74回 vs 第75・76・77・78回
全体,相澤翔駿,相澤倖翔,セ・流山,,0.75,candidate,第75回 vs 第79回
全体,服部宜孔,服部宣孔,セ・ときわ台,,0.75,candidate,第77回 vs 第78・79回
全体,弥間政隆,彅間政隆,セ・葛西,,0.75,candidate,第74回 vs 第78回
全体,山崎陸真,山﨑陸真,セ・二俣川,,0.75,candidate,第74回 vs 第75・76・77回
全体,髙橋里美,高橋里美,セ・横浜,,0.75,candidate,第74回 vs 第75・76・77・78・79・80回
全体,蛭名昌彦,蛯名昌彦,セ・志木,,0.75,candidate,第74回 vs 第75・76・77回
全体,髙梨大樹,高梨大樹,セ・成城,,0.75,candidate,第74回 vs 第75・79回
全体,茂榊典子,茂櫛典子,セ・成城,,0.75,candidate,第74回 vs 第75・77回
全体,髙島典子,高島典子,セ・大森,,0.75,candidate,第74回 vs 第75・76・77・78・79・80回
全体,髙橋宙大,高橋宙大,セ・桶川北本,,0.75,candidate,第74回 vs 第75回
全体,三﨑淳二,三崎淳二,セ・桶川北本,,0.75,candidate,第77・80回 vs 第79回
全体,後藤明美,後藤元美,セ・天王洲,,0.75,candidate,第74・75・76・77・78回 vs 第79・80回
全体,嶋崎昭夫,嶋﨑昭夫,セ・西東京,,0.75,candidate,第74回 vs 第75・76・77・78・79回
全体,木澤果子,木澤杲子,セ・柏,,0.75,candidate,第74回 vs 第75・78・79回
全体,亀田一暦,亀田一磨,セ・東戸塚,,0.75,candidate,第74回 vs 第75・76回
全体,亀田一暦,亀田一鷹,セ・東戸塚,,0.75,candidate,第74回 vs 第79回
全体,亀田一磨,亀田一鷹,セ・東戸塚,,0.75,candidate,第75・76回 vs 第79回
全体,兼森伸兒,兼森伸児,ザバス八景,,0.75,candidate,第77・78・79回 vs 第80回
