round,pool_type,team_key,team_names,gender,name_a,name_b,normalized_a,normalized_b,score,reason,age_groups_a,age_groups_b,sources_a,sources_b,evidence_a,evidence_b,review_status,review_note
75,長水路,ザバス金沢八,ザバス金沢八,男子,兼森伸児,兼森伸兒,兼森伸児,兼森伸児,98,variant_normalized_match,55～59歳,55～59歳,individual_results,individual_results,"race=10,event=100m自由形,age=55～59歳,rank=4","race=21,event=50m平泳ぎ,age=55～59歳,rank=10",candidate,
75,長水路,ザバス鶴見,ザバス鶴見,女子,小林史子,小林弘子,小林史子,小林弘子,90,edit_distance_1,200～239歳 / 60～64歳,160～199歳 / 200～239歳 / 50～54歳,individual_results / relay_members,individual_results / relay_members,"race=15,event=50m自由形,age=60～64歳,rank=32 | race=20,event=50m平泳ぎ,age=60～64歳,rank=18 | race=3,event=4×50mフリーリレー,age=200～239歳,order=2","race=13,event=50m背泳ぎ,age=50～54歳,rank=4 | race=20,event=50m平泳ぎ,age=50～54歳,rank=9 | race=3,event=4×50mフリーリレー,age=200～239歳,order=2 | race=11,event=4×50mメドレーリレー,age=160～199歳,order=4",candidate,
75,長水路,ザバス鶴見,ザバス鶴見,女子,真柴田こずえ,真栄田こずえ,真柴田こずえ,真栄田こずえ,90,edit_distance_1,120～159歳 / 35～39歳,120～159歳 / 160～199歳 / 200～239歳 / 35～39歳,individual_results / relay_members,individual_results / relay_members,"race=1,event=200m自由形,age=35～39歳,rank=2 | race=3,event=4×50mフリーリレー,age=120～159歳,order=1","race=15,event=50m自由形,age=35～39歳,rank=4 | race=5,event=4×100mフリーリレー,age=120～159歳,order=1 | race=11,event=4×50mメドレーリレー,age=160～199歳,order=2 | race=18,event=4×100mメドレーリレー,age=200～239歳,order=3",candidate,
75,長水路,二俣川,セ・二俣川,男子,山﨑陸真,山崎陸真,山崎陸真,山崎陸真,98,variant_normalized_match,18～24歳 / 72～119歳,72～119歳,individual_results / relay_members,relay_members,"race=10,event=100m自由形,age=18～24歳,rank=10 | race=16,event=50m自由形,age=18～24歳,rank=13 | race=12,event=4×50mメドレーリレー,age=72～119歳,order=1 | race=19,event=4×100mメドレーリレー,age=72～119歳,order=3","race=4,event=4×50mフリーリレー,age=72～119歳,order=4 | race=6,event=4×100mフリーリレー,age=72～119歳,order=4",candidate,
75,長水路,前橋,セ・前橋,男子,金子惠一,金子恵一,金子恵一,金子恵一,98,variant_normalized_match,55～59歳,240～279歳,individual_results,relay_members,"race=10,event=100m自由形,age=55～59歳,rank=1","race=4,event=4×50mフリーリレー,age=240～279歳,order=2",candidate,
75,長水路,曽谷セ,曽谷・セ,女子,諸橋暁子,諸橋曉子,諸橋暁子,諸橋曉子,90,edit_distance_1,75～79歳,75～79歳,individual_results,individual_results,"race=20,event=50m平泳ぎ,age=75～79歳,rank=4","race=15,event=50m自由形,age=75～79歳,rank=10",candidate,
75,長水路,東戸塚,セ・東戸塚,男子,亀田一磨,亀田一麿,亀田一磨,亀田一麿,90,edit_distance_1,70～74歳,70～74歳,individual_results,individual_results,"race=21,event=50m平泳ぎ,age=70～74歳,rank=2","race=10,event=100m自由形,age=70～74歳,rank=1",candidate,
75,長水路,流山,セ・流山,男子,設楽航希,設樂航希,設楽航希,設樂航希,90,edit_distance_1,18～24歳,18～24歳 / 72～119歳,individual_results,individual_results / relay_members,"race=16,event=50m自由形,age=18～24歳,rank=2","race=10,event=100m自由形,age=18～24歳,rank=2 | race=4,event=4×50mフリーリレー,age=72～119歳,order=4 | race=12,event=4×50mメドレーリレー,age=72～119歳,order=1",candidate,
75,長水路,用賀,セ・用賀,女子,佐報由利子,佐藤由利子,佐報由利子,佐藤由利子,90,edit_distance_1,75～79歳,75～79歳,individual_results,individual_results,"race=20,event=50m平泳ぎ,age=75～79歳,rank=2","race=9,event=100m自由形,age=75～79歳,rank=1",candidate,
75,長水路,葛西,セ・葛西,男子,山﨑緋呂,山崎緋呂,山崎緋呂,山崎緋呂,98,variant_normalized_match,18～24歳 / 72～119歳,18～24歳 / 72～119歳,individual_results / relay_members,individual_results / relay_members,"race=16,event=50m自由形,age=18～24歳,rank=19 | race=12,event=4×50mメドレーリレー,age=72～119歳,order=3","race=23,event=50mバタフライ,age=18～24歳,rank=16 | race=4,event=4×50mフリーリレー,age=72～119歳,order=2 | race=6,event=4×100mフリーリレー,age=72～119歳,order=1",candidate,
75,長水路,葛西,セ・葛西,男子,宮木幸彦,宮本幸彦,宮木幸彦,宮本幸彦,90,edit_distance_1,200～239歳 / 55～59歳,55～59歳,individual_results / relay_members,individual_results,"race=14,event=50m背泳ぎ,age=55～59歳,rank=3 | race=4,event=4×50mフリーリレー,age=200～239歳,order=3","race=21,event=50m平泳ぎ,age=55～59歳,rank=7",candidate,
75,長水路,越谷,セ・越谷,女子,中村和子,中田和子,中村和子,中田和子,90,edit_distance_1,240～279歳 / 65～69歳,75～79歳,individual_results / relay_members,individual_results,"race=22,event=50mバタフライ,age=65～69歳,rank=2 | race=11,event=4×50mメドレーリレー,age=240～279歳,order=3","race=15,event=50m自由形,age=75～79歳,rank=16",candidate,
75,長水路,長津田,セ・長津田,女子,久保美由紀,久保美紀由紀,久保美由紀,久保美紀由紀,90,edit_distance_1,120～159歳 / 35～39歳,35～39歳,individual_results / relay_members,individual_results,"race=1,event=200m自由形,age=35～39歳,rank=3 | race=5,event=4×100mフリーリレー,age=120～159歳,order=3 | race=11,event=4×50mメドレーリレー,age=120～159歳,order=2","race=9,event=100m自由形,age=35～39歳,rank=2",candidate,
75,長水路,館山,セ・館山,女子,佐藤明美,佐門明美,佐藤明美,佐門明美,90,edit_distance_1,55～59歳,55～59歳,individual_results,individual_results,"race=13,event=50m背泳ぎ,age=55～59歳,rank=8","race=15,event=50m自由形,age=55～59歳,rank=2",candidate,
