ID,回,年,月,日,水路,タイプ,レース番号,競技名,競技性別,リレー年齢区分,リレー実年齢合計,リレータイム,リレー大会新差,リレー泳順,個人年齢区分,順位,選手名,性別,チーム名,個人タイム,個人大会新差,飛込タイム,LAPタイム,個人得点,チーム得点,申請タイム,ぴったり賞,大会新,大会記録,日本記録,世界記録,レーン
1,75,2023,11,4,長水路,チーム,3,4×50mフリーリレー,女子,320～359歳,327,3:16.24,,1,,1,八田清子,,セ・松戸,45.00,,,,,,,,TRUE,3:41.09,2:52.72,2:52.72,1/7
2,75,2023,11,4,長水路,チーム,3,4×50mフリーリレー,女子,320～359歳,327,3:16.24,,2,,1,須山順子,,セ・松戸,50.55,,,,,,,,TRUE,3:41.09,2:52.72,2:52.72,1/7
3,75,2023,11,4,長水路,チーム,3,4×50mフリーリレー,女子,320～359歳,327,3:16.24,,3,,1,川口栄子,,セ・松戸,43.45,,,,,,,,TRUE,3:41.09,2:52.72,2:52.72,1/7
4,75,2023,11,4,長水路,チーム,3,4×50mフリーリレー,女子,320～359歳,327,3:16.24,,4,,1,馬渡厚子,,セ・松戸,57.24,,,,,,,,TRUE,3:41.09,2:52.72,2:52.72,1/7
5,75,2023,11,4,長水路,チーム,3,4×50mフリーリレー,女子,320～359歳,320,3:45.87,,1,,2,新堀友子,,セ・天王洲,56.85,,,,,,,,,3:41.09,2:52.72,2:52.72,1/2
6,75,2023,11,4,長水路,チーム,3,4×50mフリーリレー,女子,320～359歳,320,3:45.87,,2,,2,川端淑子,,セ・天王洲,54.41,,,,,,,,,3:41.09,2:52.72,2:52.72,1/2
7,75,2023,11,4,長水路,チーム,3,4×50mフリーリレー,女子,320～359歳,320,3:45.87,,3,,2,平田美佐子,,セ・天王洲,56.52,,,,,,,,,3:41.09,2:52.72,2:52.72,1/2
8,75,2023,11,4,長水路,チーム,3,4×50mフリーリレー,女子,320～359歳,320,3:45.87,,4,,2,柴田千代子,,セ・天王洲,58.09,,,,,,,,,3:41.09,2:52.72,2:52.72,1/2
9,75,2023,11,4,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,280,2:46.41,,1,,1,立石由美子,,セ・大森,39.85,,,,,,,,,2:45.72,2:32.73,2:14.99,2/4
10,75,2023,11,4,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,280,2:46.41,,2,,1,藤井一恵,,セ・大森,42.61,,,,,,,,,2:45.72,2:32.73,2:14.99,2/4
11,75,2023,11,4,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,280,2:46.41,,3,,1,室谷晴江,,セ・大森,44.44,,,,,,,,,2:45.72,2:32.73,2:14.99,2/4
12,75,2023,11,4,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,280,2:46.41,,4,,1,井上美佐子,,セ・大森,39.51,,,,,,,,,2:45.72,2:32.73,2:14.99,2/4
13,75,2023,11,4,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,302,2:58.14,,1,,2,柴崎徳子,,セ・柏,42.57,,,,,,,,,2:45.72,2:32.73,2:14.99,2/9
14,75,2023,11,4,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,302,2:58.14,,2,,2,木澤杲子,,セ・柏,44.51,,,,,,,,,2:45.72,2:32.73,2:14.99,2/9
15,75,2023,11,4,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,302,2:58.14,,3,,2,長野愛子,,セ・柏,47.81,,,,,,,,,2:45.72,2:32.73,2:14.99,2/9
16,75,2023,11,4,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,302,2:58.14,,4,,2,浅浦礼子,,セ・柏,43.25,,,,,,,,,2:45.72,2:32.73,2:14.99,2/9
17,75,2023,11,4,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,280,3:04.66,,1,,3,五十嵐知佐,,セ・おおたか,37.43,,,,,,,,,2:45.72,2:32.73,2:14.99,1/4
18,75,2023,11,4,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,280,3:04.66,,2,,3,田中もみぢ,,セ・おおたか,50.89,,,,,,,,,2:45.72,2:32.73,2:14.99,1/4
19,75,2023,11,4,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,280,3:04.66,,3,,3,松永タズヨ,,セ・おおたか,50.95,,,,,,,,,2:45.72,2:32.73,2:14.99,1/4
20,75,2023,11,4,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,280,3:04.66,,4,,3,山地多佳子,,セ・おおたか,45.39,,,,,,,,,2:45.72,2:32.73,2:14.99,1/4
21,75,2023,11,4,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,281,3:11.79,,1,,4,福田加代子,,セ・戸塚,49.93,,,,,,,,,2:45.72,2:32.73,2:14.99,1/3
22,75,2023,11,4,長水路,チーム,3,4×50mフリーリレー,女子,280～319歳,281,3:11.79,,2,,4,菅和江,,セ・戸塚,46.05,,,,,,,,,2:45.72,2:32.73,2:14.99,1/3
