ID,回,年,月,日,水路,タイプ,レース番号,競技名,競技性別,リレー年齢区分,リレー実年齢合計,リレータイム,リレー大会新差,リレー泳順,個人年齢区分,順位,選手名,性別,チーム名,個人タイム,個人大会新差,飛込タイム,LAPタイム,個人得点,チーム得点,申請タイム,ぴったり賞,大会新,大会記録,日本記録,世界記録,レーン
1,77,2024,10,26,長水路,個人,1,200m自由形,女子,,,,,,85～89歳,1,森川タエ子,女子,セ・我孫子,4:46.08,,,,,,,,,4:28.56,3:14.51,3:14.51,1/5
2,77,2024,10,26,長水路,個人,1,200m自由形,女子,,,,,,80～84歳,1,佐藤由利子,女子,セ・用賀,3:47.95,,,"51.39,1:49.29,2:48.57",,,,,TRUE,4:12.00,3:05.95,3:05.95,3/2
3,77,2024,10,26,長水路,個人,1,200m自由形,女子,,,,,,80～84歳,2,安澤イソ子,女子,セ・市ヶ尾,4:24.85,,,"56.13,2:00.04,3:10.61",,,,,,4:12.00,3:05.95,3:05.95,1/7
4,77,2024,10,26,長水路,個人,1,200m自由形,女子,,,,,,80～84歳,3,御手洗ヨシ,女子,CS南行徳,4:36.70,,,"56.03,2:05.91,3:22.07",,,,,,4:12.00,3:05.95,3:05.95,1/6
5,77,2024,10,26,長水路,個人,1,200m自由形,女子,,,,,,75～79歳,1,竹原君枝,女子,セ・慶應日吉,3:44.09,,,"52.29,1:49.11,2:46.99",,,,,,3:32.08,2:54.26,2:54.26,3/9
6,77,2024,10,26,長水路,個人,1,200m自由形,女子,,,,,,70～74歳,1,中平信子,女子,セ・成瀬,3:14.00,,,"44.15,1:33.48,2:24.60",,,,,,3:05.67,2:49.80,2:29.72,5/1
7,77,2024,10,26,長水路,個人,1,200m自由形,女子,,,,,,70～74歳,2,青砥美智子,女子,セ・葛西,3:35.16,,,"49.60,1:42.94,2:39.08",,,,,,3:05.67,2:49.80,2:29.72,5/9
8,77,2024,10,26,長水路,個人,1,200m自由形,女子,,,,,,70～74歳,3,岡村悦子,女子,セ・おおたか,3:38.29,,,"50.85,1:47.35,2:46.19",,,,,,3:05.67,2:49.80,2:29.72,4/9
9,77,2024,10,26,長水路,個人,1,200m自由形,女子,,,,,,70～74歳,4,大熊正子,女子,セ・桶川北本,3:52.45,,,"50.79,1:49.78,2:52.00",,,,,,3:05.67,2:49.80,2:29.72,2/4
10,77,2024,10,26,長水路,個人,1,200m自由形,女子,,,,,,70～74歳,5,菅井道子,女子,セ・戸塚,4:08.62,,,"59.40,2:02.84,3:08.61",,,,,,3:05.67,2:49.80,2:29.72,2/3
11,77,2024,10,26,長水路,個人,1,200m自由形,女子,,,,,,65～69歳,1,菅野泰子,女子,セ・葛西,2:55.35,,,"40.54,1:25.25,2:10.59",,,,,,2:54.20,2:42.91,2:25.29,7/3
12,77,2024,10,26,長水路,個人,1,200m自由形,女子,,,,,,65～69歳,2,森谷登志江,女子,セ・慶應日吉,3:13.36,,,"43.55,1:31.46,2:22.96",,,,,,2:54.20,2:42.91,2:25.29,5/5
13,77,2024,10,26,長水路,個人,1,200m自由形,女子,,,,,,65～69歳,3,山崎京子,女子,セ・横浜,3:16.58,,,"46.43,1:36.82,2:28.51",,,,,,2:54.20,2:42.91,2:25.29,6/7
14,77,2024,10,26,長水路,個人,1,200m自由形,女子,,,,,,65～69歳,4,育村博子,女子,セ・おおたか,3:22.48,,,"47.37,1:38.09,2:31.86",,,,,,2:54.20,2:42.91,2:25.29,5/8
15,77,2024,10,26,長水路,個人,1,200m自由形,女子,,,,,,65～69歳,5,久松葉子,女子,セ・成瀬,3:27.53,,,"47.53,1:40.75,2:34.98",,,,,,2:54.20,2:42.91,2:25.29,4/4
16,77,2024,10,26,長水路,個人,1,200m自由形,女子,,,,,,65～69歳,6,森本美恵,女子,セ・松戸,3:33.44,,,"48.86,1:42.74,2:40.15",,,,,,2:54.20,2:42.91,2:25.29,4/3
17,77,2024,10,26,長水路,個人,1,200m自由形,女子,,,,,,65～69歳,7,石河久美子,女子,セ・溝ノ口,3:34.64,,,"49.71,1:43.64,2:39.75",,,,,,2:54.20,2:42.91,2:25.29,4/8
18,77,2024,10,26,長水路,個人,1,200m自由形,女子,,,,,,65～69歳,8,臼井希代子,女子,セ・大宮宮原,3:34.65,,,"47.74,1:41.90,2:39.02",,,,,,2:54.20,2:42.91,2:25.29,4/2
19,77,2024,10,26,長水路,個人,1,200m自由形,女子,,,,,,65～69歳,9,日和久美子,女子,セ・戸塚,3:42.07,,,"53.11,1:49.50,2:47.51",,,,,,2:54.20,2:42.91,2:25.29,4/10
20,77,2024,10,26,長水路,個人,1,200m自由形,女子,,,,,,65～69歳,10,岡田美恵子,女子,セ・溝ノ口,3:53.14,,,"52.80,1:50.37,2:50.24",,,,,,2:54.20,2:42.91,2:25.29,3/3
21,77,2024,10,26,長水路,個人,1,200m自由形,女子,,,,,,65～69歳,11,三嶋祐子,女子,セ・阿佐谷,4:03.71,,,"54.00,1:54.36,2:57.73",,,,,,2:54.20,2:42.91,2:25.29,2/6
22,77,2024,10,26,長水路,個人,1,200m自由形,女子,,,,,,65～69歳,12,大西和子,女子,セ・天王洲,4:37.24,,,,,,,,,2:54.20,2:42.91,2:25.29,1/4
23,77,2024,10,26,長水路,個人,1,200m自由形,女子,,,,,,60～64歳,1,石井裕美,女子,セ・ときわ台,2:58.32,,,"40.38,1:26.20,2:14.74",,,,,,2:35.22,2:31.90,2:21.03,7/4
