ID,回,年,月,日,水路,タイプ,レース番号,競技名,競技性別,リレー年齢区分,リレー実年齢合計,リレータイム,リレー大会新差,リレー泳順,個人年齢区分,順位,選手名,性別,チーム名,個人タイム,個人大会新差,飛込タイム,LAPタイム,個人得点,チーム得点,申請タイム,ぴったり賞,大会新,大会記録,日本記録,世界記録,レーン
1,80,2026,5,2,長水路,個人,1,200m自由形,女子,,,,,,80～84歳,1,佐藤由利子,女子,用賀,3:53.04,+5.09,0.85,"52.61,1:50.74,2:51.44",10.0,10.0,3:50.00,,,3:47.95,3:05.95,3:05.95,2/9
2,80,2026,5,2,長水路,個人,1,200m自由形,女子,,,,,,80～84歳,2,竹原君枝,女子,慶應日吉,3:59.45,+11.50,1.08,"55.04,1:56.30,2:58.93",9.0,9.0,3:50.00,,,3:47.95,3:05.95,3:05.95,2/1
3,80,2026,5,2,長水路,個人,1,200m自由形,女子,,,,,,80～84歳,3,内田良子,女子,用賀,3:59.70,+11.75,0.99,"55.40,1:56.19,2:58.59",8.0,8.0,4:05.00,,,3:47.95,3:05.95,3:05.95,1/4
4,80,2026,5,2,長水路,個人,1,200m自由形,女子,,,,,,75～79歳,1,中平信子,女子,成瀬,3:22.38,-9.70,0.9,"46.91,1:38.54,2:31.53",10.0,10.0,3:30.00,,大会新,3:32.08,2:54.26,2:47.46,2/5
5,80,2026,5,2,長水路,個人,1,200m自由形,女子,,,,,,75～79歳,2,藤井一恵,女子,大森,3:58.46,+26.38,0.98,"52.82,1:52.43,2:56.79",9.0,9.0,3:49.12,,,3:32.08,2:54.26,2:47.46,2/2
6,80,2026,5,2,長水路,個人,1,200m自由形,女子,,,,,,75～79歳,3,郡司米子,女子,八千代台,3:59.40,+27.32,記録なし,"52.49,1:52.68,2:57.08",8.0,8.0,4:20.05,,,3:32.08,2:54.26,2:47.46,1/9
7,80,2026,5,2,長水路,個人,1,200m自由形,女子,,,,,,75～79歳,4,馬場悦子,女子,清瀬,4:17.05,+44.97,0.86,"56.67,2:01.39,3:11.68",7.0,7.0,4:11.25,,,3:32.08,2:54.26,2:47.46,1/2
8,80,2026,5,2,長水路,個人,1,200m自由形,女子,,,,,,70～74歳,1,岡村悦子,女子,おおたか,3:42.85,+44.01,1.02,"49.98,1:44.57,2:45.20",10.0,10.0,3:40.00,,,2:58.84,2:49.80,2:29.56,2/4
9,80,2026,5,2,長水路,個人,1,200m自由形,女子,,,,,,70～74歳,2,森本美恵,女子,松戸,3:47.28,+48.44,0.77,"52.47,1:50.06,2:50.80",9.0,9.0,3:37.00,,,2:58.84,2:49.80,2:29.56,2/6
10,80,2026,5,2,長水路,個人,1,200m自由形,女子,,,,,,70～74歳,3,三嶋祐子,女子,阿佐谷,4:11.73,+72.89,0.84,"56.94,2:01.24,3:05.33",8.0,8.0,4:02.98,,,2:58.84,2:49.80,2:29.56,1/6
